,X,Y,t_datetime_x,t_days,u,p_acum_30d,p_acum_60d,p_acum_90d
1518,4708117.185166413,2253624.9002480325,2022-07-05,132.0,-0.009832837,195.28997588157654,493.422648191452,633.2352777719498
1519,4708157.208605682,2253624.747071722,2022-07-05,132.0,-0.016177576,195.28997588157654,493.422648191452,633.2352777719498
1520,4708197.232036172,2253624.59389549,2022-07-05,132.0,-0.015880693,195.28997588157654,493.422648191452,633.2352777719498
1521,4708237.255457887,2253624.440719336,2022-07-05,132.0,-0.009764699,195.28997588157654,493.422648191452,633.2352777719498
1522,4708277.278870823,2253624.287543261,2022-07-05,132.0,-0.007863481,195.28997588157654,493.422648191452,633.2352777719498
1523,4708317.3022749815,2253624.1343672643,2022-07-05,132.0,-0.010066491,195.28997588157654,493.422648191452,633.2352777719498
1524,4708357.325670362,2253623.9811913464,2022-07-05,132.0,-0.011248771,195.28997588157654,493.422648191452,633.2352777719498
1525,4708397.349056968,2253623.828015507,2022-07-05,132.0,-0.015450402,195.28997588157654,493.422648191452,633.2352777719498
1526,4708437.372434795,2253623.6748397467,2022-07-05,132.0,-0.0156197725,195.28997588157654,493.422648191452,633.2352777719498
1527,4708477.395803843,2253623.521664065,2022-07-05,132.0,-0.01367767,195.28997588157654,493.422648191452,633.2352777719498
1528,4708517.419164116,2253623.368488461,2022-07-05,132.0,-0.012158448,195.28997588157654,493.422648191452,633.2352777719498
1529,4708557.442515612,2253623.2153129363,2022-07-05,132.0,-0.018269204,195.28997588157654,493.422648191452,633.2352777719498
1530,4708597.46585833,2253623.06213749,2022-07-05,132.0,-0.013047265,195.28997588157654,493.422648191452,633.2352777719498
1531,4708157.055433798,2253584.723636804,2022-07-05,132.0,-0.018275796,195.28997588157654,493.422648191452,633.2352777719498
1532,4708197.078864368,2253584.570469349,2022-07-05,132.0,-0.011292406,195.28997588157654,493.422648191452,633.2352777719498
1533,4708237.102286161,2253584.417301973,2022-07-05,132.0,-0.018036697,195.28997588157654,493.422648191452,633.2352777719498
1534,4708277.125699175,2253584.264134675,2022-07-05,132.0,-0.020440403,195.28997588157654,493.422648191452,633.2352777719498
1535,4708317.149103413,2253584.110967456,2022-07-05,132.0,-0.008867644,195.28997588157654,493.422648191452,633.2352777719498
1536,4708357.172498873,2253583.957800316,2022-07-05,132.0,-0.013665153,195.28997588157654,493.422648191452,633.2352777719498
1537,4708397.195885557,2253583.8046332537,2022-07-05,132.0,-0.012251786,195.28997588157654,493.422648191452,633.2352777719498
1538,4708437.219263462,2253583.6514662704,2022-07-05,132.0,-0.013221359,195.28997588157654,493.422648191452,633.2352777719498
1539,4708477.24263259,2253583.498299366,2022-07-05,132.0,-0.020565998,195.28997588157654,493.422648191452,633.2352777719498
1540,4708517.265992942,2253583.3451325395,2022-07-05,132.0,-0.014171135,195.28997588157654,493.422648191452,633.2352777719498
1541,4708557.289344515,2253583.1919657923,2022-07-05,132.0,-0.014140573,195.28997588157654,493.422648191452,633.2352777719498
1542,4708597.31268731,2253583.0387991234,2022-07-05,132.0,-0.015690409,195.28997588157654,493.422648191452,633.2352777719498
1543,4708116.878831266,2253544.8533605635,2022-07-05,132.0,-0.017259061,195.28997588157654,493.422648191452,633.2352777719498
1544,4708156.902270693,2253544.7002018075,2022-07-05,132.0,-0.015570358,195.28997588157654,493.422648191452,633.2352777719498
1545,4708196.925701342,2253544.54704313,2022-07-05,132.0,-0.01571816,195.28997588157654,493.422648191452,633.2352777719498
1546,4708236.949123213,2253544.393884531,2022-07-05,132.0,-0.012817536,195.28997588157654,493.422648191452,633.2352777719498
1547,4708276.972536306,2253544.240726011,2022-07-05,132.0,-0.009636009,195.28997588157654,493.422648191452,633.2352777719498
1548,4708316.995940622,2253544.087567569,2022-07-05,132.0,-0.014334153,195.28997588157654,493.422648191452,633.2352777719498
1549,4708357.019336161,2253543.934409206,2022-07-05,132.0,-0.013926231,195.28997588157654,493.422648191452,633.2352777719498
1550,4708397.042722923,2253543.781250921,2022-07-05,132.0,-0.014724733,195.28997588157654,493.422648191452,633.2352777719498
1551,4708437.066100907,2253543.6280927155,2022-07-05,132.0,-0.011544658,195.28997588157654,493.422648191452,633.2352777719498
1552,4708477.089470114,2253543.4749345887,2022-07-05,132.0,-0.014399759,195.28997588157654,493.422648191452,633.2352777719498
1553,4708517.112830544,2253543.32177654,2022-07-05,132.0,-0.015066812,195.28997588157654,493.422648191452,633.2352777719498
1554,4708557.136182195,2253543.1686185696,2022-07-05,132.0,-0.014760503,195.28997588157654,493.422648191452,633.2352777719498
1555,4708116.72567686,2253504.829916711,2022-07-05,132.0,-0.015498984,195.28997588157654,493.422648191452,633.2352777719498
1556,4708156.749116363,2253504.676766732,2022-07-05,132.0,-0.019732475,195.28997588157654,493.422648191452,633.2352777719498
